Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-12-23,1788.2600100000002,1793.0,1784.5100100000002,1793.0,1793.0,2136400,Amazon
2019-12-24,1793.810059,1795.569946,1787.5799559999998,1789.209961,1789.209961,881300,Amazon
2019-12-26,1801.0100100000002,1870.459961,1799.5,1868.77002,1868.77002,6005400,Amazon
2019-12-27,1882.9200440000002,1901.4000239999998,1866.0100100000002,1869.800049,1869.800049,6186600,Amazon
2019-12-30,1874.0,1884.0,1840.619995,1846.890015,1846.890015,3674700,Amazon
2019-12-31,1842.0,1853.2600100000002,1832.22998,1847.839966,1847.839966,2506500,Amazon
2020-01-02,1875.0,1898.0100100000002,1864.1500239999998,1898.0100100000002,1898.0100100000002,4029000,Amazon
2020-01-03,1864.5,1886.199951,1864.5,1874.969971,1874.969971,3764400,Amazon
2020-01-06,1860.0,1903.689941,1860.0,1902.880005,1902.880005,4061800,Amazon
2020-01-07,1904.5,1913.890015,1892.040039,1906.859985,1906.859985,4044900,Amazon
2020-01-08,1898.040039,1911.0,1886.439941,1891.969971,1891.969971,3508000,Amazon
2020-01-09,1909.890015,1917.819946,1895.800049,1901.050049,1901.050049,3167300,Amazon
2020-01-10,1905.369995,1906.939941,1880.0,1883.160034,1883.160034,2853700,Amazon
2020-01-13,1891.310059,1898.0,1880.800049,1891.300049,1891.300049,2780800,Amazon
2020-01-14,1885.880005,1887.109985,1858.550049,1869.439941,1869.439941,3440900,Amazon
2020-01-15,1872.25,1878.859985,1855.089966,1862.02002,1862.02002,2896600,Amazon
2020-01-16,1882.9899899999998,1885.589966,1866.02002,1877.939941,1877.939941,2659500,Amazon
2020-01-17,1885.890015,1886.640015,1857.25,1864.719971,1864.719971,3997300,Amazon
2020-01-21,1865.0,1894.27002,1860.0,1892.0,1892.0,3707800,Amazon
2020-01-22,1896.089966,1902.5,1883.339966,1887.459961,1887.459961,3216300,Amazon
2020-01-23,1885.109985,1889.97998,1872.7600100000002,1884.5799559999998,1884.5799559999998,2484600,Amazon
2020-01-24,1891.369995,1894.9899899999998,1847.439941,1861.640015,1861.640015,3766200,Amazon
2020-01-27,1820.0,1841.0,1815.339966,1828.339966,1828.339966,3528500,Amazon
2020-01-28,1840.5,1858.109985,1830.02002,1853.25,1853.25,2808000,Amazon
2020-01-29,1864.0,1874.75,1855.02002,1858.0,1858.0,2088000,Amazon
2020-01-30,1858.0,1872.869995,1850.609985,1870.680054,1870.680054,6327400,Amazon
2020-01-31,2051.469971,2055.719971,2002.27002,2008.719971,2008.719971,15567300,Amazon
2020-02-03,2010.5999760000002,2048.5,2000.25,2004.199951,2004.199951,5899100,Amazon
2020-02-04,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289300,Amazon
2020-02-05,2071.02002,2071.02002,2032.0,2039.869995,2039.869995,4376200,Amazon
2020-02-06,2041.02002,2056.300049,2024.800049,2050.22998,2050.22998,3183000,Amazon
2020-02-07,2041.9899899999998,2098.530029,2038.0999760000002,2079.280029,2079.280029,5095300,Amazon
2020-02-10,2085.01001,2135.600098,2084.959961,2133.909912,2133.909912,5056200,Amazon
2020-02-11,2150.899902,2185.949951,2136.0,2150.800049,2150.800049,5746000,Amazon
2020-02-12,2163.199951,2180.25,2155.290039,2160.0,2160.0,3334300,Amazon
2020-02-13,2144.98999,2170.280029,2142.0,2149.8701170000004,2149.8701170000004,3031800,Amazon
2020-02-14,2155.679932,2159.040039,2125.889893,2134.8701170000004,2134.8701170000004,2606200,Amazon
2020-02-18,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600,Amazon
2020-02-19,2167.800049,2185.100098,2161.1201170000004,2170.219971,2170.219971,2561200,Amazon
2020-02-20,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300,Amazon
2020-02-21,2142.149902,2144.550049,2088.0,2095.969971,2095.969971,4646300,Amazon
2020-02-24,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000,Amazon
